Id;Designator;Quantity;Designation;Supplier and ref;
1;U1;1;STM32F030F4Px;RM 68666 ;3
2;U2,U3;2;LTV-847S;CHINA;
3;J3;1;Conn_ARM_JTAG_SWD_10;"KN ZL322-2X5P
";5
4;C1,C2;2;100nF;RM 3222 ;10
5;J4,J5,J6;3;Conn_01x03;RM 22831 ;5
6;J1;1;Buttons;RM 22830 ;6
7;D1;1;LED_GREEN;RM 18427 ;3
8;MH1;1;BatteryWire;;
9;MH2,MH3,MH4,MH5;4;MountingHole;;
10;J2;1;Battery;RM 37738 ;1
11;R3,R4,R1,R2;4;10K;RM 3693 ;100
12;R9,R13,R12,R11,R10,R8,R7,R6;8;330;RM 3666 ;100
13;R5;1;68;RM 4573 ;100
;Ext;8;IRF9Z24NPBF;RM 40284 ;10
;Ext;8;5k1;RM 13779 ;10
;Ext;8;1N4007;RM 1574;10
;Ext;2;8pinm;RM 29471;2
;Ext;2;8minf;RM 29468;2
;Ext;1;6pinm;RM 29469;1
;Ext;1;6pinf;RM 29466;1
;Ext;15;Piston;RM 41708 ;40
